Designator,Mid X,Mid Y,Layer,Rotation
C1,37.365,21.872,top,-90
C2,23.6576,14.986,top,0
C3,23.6474,16.9672,top,180
C4,6.7914,11.938,top,0
C5,7.506,22.733,top,0
C6,10.1922,12.4736,top,0
C7,54.8,9.525,top,180
C8,32.893,11.382,top,90
C9,20.4736,14.986,top,180
C10,17.78,11.725,top,-90
C12,12.6894,16.944,top,180
D1,47.244,1.7018,top,-90
D2,3.175,17.28,top,180
D3,3.175,20.193,top,180
D4,3.175,14.351,top,180
F1,7.6461,9.525,top,0
J2,12.82,5.09,top,0
R1,42.572,22.352,top,180
R2,42.574,21.082,top,180
R3,42.574,19.812,top,180
R4,13.45,22.35,top,-90
R5,10.91,22.35,top,-90
R6,5.8185,17.28,top,0
R7,5.8185,20.193,top,0
R8,5.8185,14.351,top,0
R10,11.049,10.0584,top,-90
R11,15.08,9.657,top,180
R15,44.702,5.715,top,0
R16,58.039,7.495,top,-90
R17,57.023,7.495,top,90
R18,58.039,5.209,top,-90
R19,57.023,5.205,top,-90
R20,31.457,18.161,top,180
R21,29.5382,18.161,top,180
R22,33.02,17.137,top,-90
R23,33.02,15.2634,top,-90
U1,39.807,19.4895,top,0
U4,12.938,14.732,top,90
U5,30.622,13.7645,top,180
U6,22.7076,9.525,top,90
U8,52.705,6.35,top,-90
